"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"111","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.19980000000000003","-0.667"
"114","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-1.0664","-1.333"
"112","5","4","11","5","4","2","2","2","2","0","0.5","true","0.667","0.6000000000000001","0"
"117","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.3336","-0.33299999999999996"
"116","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.2662","-0.334"
"119","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.06640000000000001","-0.667"
"120","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.6004","-0.33299999999999996"
"118","5","4","10","5","4","2","2","2","2","0","0.5","true","0.667","0.6004","0"
"121","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0","-0.667"
"122","5","4","6","5","4","2","2","2","2","0","0.5","true","0","-0.2","-0.667"
"123","5","4","6","5","4","2","2","2","2","0","0.5","true","0","-0.0668","-1"
"124","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.133","-1"
"125","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.0666","-0.667"
"126","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.7338","0"
"128","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.6006","-0.33299999999999996"
"130","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.0666","-0.667"
"127","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.26720000000000005","0"
"129","5","4","8","5","4","2","2","2","2","0","0.5","true","0","-0.2666","-0.667"
"131","5","4","7","5","4","2","2","2","2","0","0.5","true","1","0.5998","0"
"132","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.06659999999999999","-1"
"135","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.3332","-0.667"
"134","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.2662","-0.666"
"133","5","4","8","5","4","2","2","2","2","0","0.5","true","1","0.9334","0.33299999999999996"
"136","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.33280000000000004","-0.334"
"137","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","-4.0000000000001146E-4","-0.334"
"139","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.8004","-1.667"
"138","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.06659999999999999","-0.333"
"140","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.3996","0"
"75","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.2662","-0.666"
"141","5","4","4","5","4","2","2","2","2","0","0.5","true","0.333","0.333","-0.667"
"144","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.20040000000000002","-0.33299999999999996"
"143","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.8004","0.334"
"145","5","4","8","5","4","2","2","2","2","0","0.5","true","1","0.5332","0.33299999999999996"
"142","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.40040000000000003","-0.33299999999999996"
