[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
1701;5;8;0.8;13;0.786;0.9432;0.5720000000000001;[agree_agent crit_agent know_agent crit_agent agree_agent f g h i j];TRUE;[2.6 3.87];[0];[0];[0.57 0.41];[0.8]
4831;5;8;0.8;15;0.786;0.9432;0.5720000000000001;[crit_agent crit_agent know_agent crit_agent crit_agent f g h i j];TRUE;[0];[0];[0];[0.89 0.65 0.41 0.32];[0.7]
6314;5;8;0.8;17;0.786;0.9432;0.5720000000000001;[crit_agent talk_agent talk_agent know_agent crit_agent f g h i j];TRUE;[0];[6.38 2.21];[0];[0.97 0.42];[0.83]
4581;5;8;0.8;15;0.786;0.9432;0.643;[agree_agent know_agent neuro_agent crit_agent agree_agent f g h i j];TRUE;[2.37 4.56];[0];[3.68];[0.55];[0.64]
3879;5;8;0.8;23;0.786;0.9432;0.786;[talk_agent know_agent crit_agent talk_agent agree_agent f g h i j];TRUE;[2.89];[5.42 2.16];[0];[0.82];[0.62]
3998;5;8;0.8;20;0.786;0.9432;0.786;[talk_agent crit_agent talk_agent know_agent crit_agent f g h i j];TRUE;[0];[3.03 3.83];[0];[0.43 0.96];[0.59]
7328;5;8;0.8;30;0.786;0.9432;0.786;[neuro_agent crit_agent know_agent talk_agent neuro_agent f g h i j];TRUE;[0];[5.55];[2.40 2.81];[0.78];[0.52]
2103;5;8;0.8;24;0.786;0.9432;0.857;[talk_agent neuro_agent crit_agent neuro_agent talk_agent f g h i j];TRUE;[0];[2.29 6.39];[6.68 4.93];[0.46];[0]
9455;5;8;0.8;13;0.786;0.9432;0.929;[crit_agent crit_agent neuro_agent talk_agent crit_agent f g h i j];TRUE;[0];[2.85];[2.88];[0.39 0.26 0.58];[0]
3700;5;8;0.8;19;0.786;0.9572;0.5;[crit_agent know_agent talk_agent agree_agent crit_agent f g h i j];TRUE;[3.68];[2.4];[0];[0.71 0.91];[0.75]
6484;5;8;0.8;17;0.786;0.9572;0.643;[talk_agent crit_agent know_agent agree_agent agree_agent f g h i j];TRUE;[5.55 2.5];[3.87];[0];[1.51];[0.89]
9651;5;8;0.8;22;0.786;0.9574;0.28600000000000003;[crit_agent crit_agent agree_agent agree_agent know_agent f g h i j];TRUE;[4.98 4.12];[0];[0];[0.94 0.59];[0.94]
4441;5;8;0.8;17;0.786;0.9574;0.5;[know_agent talk_agent agree_agent agree_agent crit_agent f g h i j];TRUE;[3.20 3.84];[4.22];[0];[0.99];[0.9]
7518;5;8;0.8;22;0.786;0.9574;0.5720000000000001;[agree_agent neuro_agent crit_agent know_agent crit_agent f g h i j];TRUE;[2.64];[0];[2.32];[0.38 0.74];[0.72]
4448;5;8;0.8;21;0.786;0.9574;0.643;[talk_agent neuro_agent know_agent talk_agent crit_agent f g h i j];TRUE;[0];[3.76 3.27];[3.03];[1.16];[0.65]
4584;5;8;0.8;20;0.786;0.9574;0.643;[crit_agent crit_agent talk_agent know_agent agree_agent f g h i j];TRUE;[2.13];[3.36];[0];[0.32 0.69];[0.69]
4717;5;8;0.8;19;0.786;0.9574;0.643;[know_agent talk_agent crit_agent neuro_agent talk_agent f g h i j];TRUE;[0];[3.44 3.38];[2.8];[0.9];[0.52]
1781;5;8;0.8;35;0.786;0.9574;0.7150000000000001;[know_agent neuro_agent talk_agent crit_agent crit_agent f g h i j];TRUE;[0];[2.82];[2.89];[0.48 0.77];[0.51]
7314;5;8;0.8;23;0.786;0.9574;0.7150000000000001;[know_agent crit_agent crit_agent neuro_agent neuro_agent f g h i j];TRUE;[0];[0];[4.49 5.37];[0.31 0.51];[0.73]
4324;5;8;0.8;20;0.786;0.9574;0.786;[know_agent crit_agent neuro_agent agree_agent agree_agent f g h i j];TRUE;[2.24 3.14];[0];[5.67];[0.77];[0.66]
8846;5;8;0.8;13;0.786;0.9574;0.786;[crit_agent crit_agent talk_agent crit_agent know_agent f g h i j];TRUE;[0];[3.2];[0];[0.76 0.63 0.86];[0.66]
1703;5;8;0.8;21;0.786;0.9574;0.857;[neuro_agent neuro_agent talk_agent talk_agent crit_agent f g h i j];TRUE;[0];[2.7 2.45];[2.0 3.64];[0.69];[0]
7533;5;8;0.8;15;0.786;0.9576;0.5720000000000001;[crit_agent know_agent crit_agent crit_agent crit_agent f g h i j];TRUE;[0];[0];[0];[0.23 0.79 0.58 0.42];[0.72]
1011;5;8;0.8;21;0.786;0.9576;0.7150000000000001;[agree_agent crit_agent know_agent crit_agent know_agent f g h i j];TRUE;[5.19];[0];[0];[0.54 0.92];[0.54 0.64]
2441;5;8;0.8;43;0.786;0.9576;0.7150000000000001;[talk_agent agree_agent talk_agent know_agent crit_agent f g h i j];TRUE;[8.34];[5 2.13];[0];[1.15];[0.65]
4113;5;8;0.8;26;0.786;0.9576;0.7150000000000001;[talk_agent talk_agent talk_agent crit_agent know_agent f g h i j];TRUE;[0];[3.19 2.79 3.65];[0];[0.75];[0.61]
7009;5;8;0.8;16;0.786;0.9576;0.7150000000000001;[agree_agent talk_agent know_agent crit_agent neuro_agent f g h i j];TRUE;[3.84];[5.54];[2.14];[0.58];[0.61]
9958;5;8;0.8;21;0.786;0.9576;0.7150000000000001;[know_agent crit_agent neuro_agent neuro_agent agree_agent f g h i j];TRUE;[4.96];[0];[2.9 3.26];[0.96];[0.79]
9261;5;8;0.8;22;0.786;0.9716;0.643;[neuro_agent agree_agent know_agent crit_agent crit_agent f g h i j];TRUE;[4.64];[0];[4];[0.65 0.87];[0.68]
4105;5;8;0.8;30;0.786;0.9716;0.786;[neuro_agent crit_agent agree_agent crit_agent know_agent f g h i j];TRUE;[4.39];[0];[4.02];[0.4 0.73];[0.51]
2896;5;8;0.8;16;0.786;0.9716;0.857;[crit_agent agree_agent talk_agent crit_agent crit_agent f g h i j];TRUE;[4.07];[3.59];[0];[0.75 0.38 0.55];[0]
4602;5;8;0.8;20;0.786;0.9716;0.857;[crit_agent crit_agent agree_agent neuro_agent neuro_agent f g h i j];TRUE;[2.63];[0];[3.40 5.42];[1.1 0.52];[0]
4716;5;8;0.8;24;0.786;0.9716;0.857;[crit_agent crit_agent agree_agent agree_agent neuro_agent f g h i j];TRUE;[2.88 2.85];[0];[3];[0.39 0.67];[0]
8645;5;8;0.8;36;0.786;0.9716;0.857;[talk_agent crit_agent agree_agent agree_agent talk_agent f g h i j];TRUE;[4.69 2.01];[3.43 4.95];[0];[0.78];[0]
1826;5;8;0.8;28;0.786;0.9716;0.929;[crit_agent talk_agent neuro_agent neuro_agent agree_agent f g h i j];TRUE;[2.98];[4.85];[3.95 5.92];[0.94];[0]
4535;5;8;0.8;13;0.786;0.9716;0.929;[crit_agent crit_agent agree_agent crit_agent crit_agent f g h i j];TRUE;[5.65];[0];[0];[0.62 0.41 0.59 0.28];[0]
8307;5;8;0.8;19;0.786;0.9716;0.929;[neuro_agent crit_agent agree_agent crit_agent crit_agent f g h i j];TRUE;[3.63];[0];[3.05];[0.64 0.22 0.3];[0]
1582;5;8;0.8;23;0.786;0.9718;0.5;[crit_agent crit_agent agree_agent know_agent crit_agent f g h i j];TRUE;[3.76];[0];[0];[0.39 0.65 0.46];[0.87]
8328;5;8;0.8;26;0.786;0.9718;0.5720000000000001;[know_agent crit_agent talk_agent crit_agent talk_agent f g h i j];TRUE;[0];[4.09 2.88];[0];[0.72 0.61];[0.79]
4649;5;8;0.8;11;0.786;0.9718;0.7150000000000001;[crit_agent crit_agent crit_agent crit_agent know_agent f g h i j];TRUE;[0];[0];[0];[0.79 0.72 0.59 0.41];[0.65]
5917;5;8;0.8;26;0.786;0.9718;0.7150000000000001;[crit_agent know_agent talk_agent neuro_agent talk_agent f g h i j];TRUE;[0];[3.38 4.28];[2.62];[0.55];[0.51]
6643;5;8;0.8;20;0.786;0.9718;0.7150000000000001;[crit_agent neuro_agent talk_agent know_agent crit_agent f g h i j];TRUE;[0];[2.4];[3.16];[0.29 0.64];[0.79]
9328;5;8;0.8;14;0.786;0.972;0.7150000000000001;[crit_agent crit_agent know_agent know_agent neuro_agent f g h i j];TRUE;[0];[0];[4.64];[0.85 1.44];[0.66 0.55]
2756;5;8;0.8;11;0.786;0.9858;0.643;[crit_agent agree_agent know_agent neuro_agent crit_agent f g h i j];TRUE;[4.52];[0];[2.53];[0.66 0.92];[0.52]
3078;5;8;0.8;30;0.786;0.9858;0.643;[talk_agent know_agent neuro_agent neuro_agent crit_agent f g h i j];TRUE;[0];[3.35];[4.52 5.56];[1.14];[0.78]
